Species name,Group,Oldest Age (in Mya),Youngest Age (in Mya),Environement (terrestrial/aquatic),Body length (m),Body mass (kg),"Diet (herbivore, omnivore, carnivore, small stuff eater)",Head presence (1/0),Head projections (1/0),Head surface (1/0),Head function (NA/foraging/sexual/other),Body presence (1/0),Body projections (1/0),Body surface (1/0),Body function (NA/foraging/sexual/other),Tail presence (1/0),Tail projections (1/0),Tail surface (1/0),Tail function (NA/foraging/sexual/other),Notes,Source,BM (source)
Dorsetisaurus,,,,Specialized_terrestrial,20mm,<1,Invertivore,1,0,0,NA,0,NA,NA,NA,0,NA,NA,NA,"Evans, S.E., Raia, P. and Barbera, C., 2006. The lower Cretaceous lizard genus Chometokadmon from Italy. Cretaceous Research, 27(5), pp.673-683.",20mm skull length,Foster2003_Table_5
Parviraptor,,,,Specialized_terrestrial,,<1,Invertivore,1,0,0,NA,0,NA,NA,NA,0,NA,NA,NA,"Evans, S.E., Raia, P. and Barbera, C., 2006. The lower Cretaceous lizard genus Chometokadmon from Italy. Cretaceous Research, 27(5), pp.673-683.",,Foster2003_Table_5
Paramacellodus,,,,Specialized_terrestrial,,<1,Invertivore,0,NA,NA,NA,0,,NA,NA,0,NA,NA,NA,http://fossilworks.org/bridge.pl?a=taxonInfo&taxon_no=172363&is_real_user=1,,Foster2003_Table_5
Saurillodon,,,,Specialized_terrestrial,,<1,Invertivore,0,NA,NA,NA,0,,NA,NA,0,NA,NA,NA,,,Foster2003_Table_5
Schilleria,,,,Specialized_terrestrial,,<1,Invertivore,0,NA,NA,NA,0,,NA,NA,0,NA,NA,NA,,,Foster2003_Table_5
Squamata_indet,,,,Specialized_terrestrial,,<1,Invertivore,,,,,,,,,,,,,,,Foster2003_Table_5
Boide,,,,Specialized_terrestrial,,<1,carnivore,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,only jawbone is present,,Foster2003_Table_5
Cteniogenys,,,,semiaquatic,,<1,Invert/Carnivore,,,,,,,,,,,,,,,Foster2003_Table_5
Hallopus,,,,terrestrial,,5,carnivore,1,0,0,NA,1,0,0,NA,0,NA,NA,NA,only partial skull and no spine may have had osteoderms on its back as it's a crocodilimorph,,Foster2003_Table_5
Fruitachampsa,,,,terrestrial,,5,carnivore,1,0,0,NA,1,0,1,NA,1,NA,NA,NA,A new shartegosuchid crocodyliform from the Upper Jurassic Morrison Formation of western Colorado,,
Goniopholis,,,,semiaquatic,,55,carnivore,1,0,0,NA,1,0,1,NA,1,0,1,NA,,,
Eutretauranosuchus,,,,semiaquatic,,55,carnivore,1,0,0,NA,0,NA,NA,NA,0,NA,NA,NA,cant find body fossil but there may still be some,,
Macelognathus,,,,semiaquatic,,55,carnivore,,,,,,,,,,,,,synonom with Hallopus,,
Mesadactylus_ornithosphyos,Pterosaur,,,aerial,,3.3,carnivore,0,0,0,NA,0,0,0,NA,0,0,0,NA,described_from_varisous_disarticulary_bones,,
Dermodactylus_montanus,Pterosaur,,,aerial,,3.3,carnivore,0,0,0,NA,0,0,0,NA,0,0,0,NA,only_metacarpal_present,,
Kepodactylus_insperatus,Pterosaur,,,aerial,,6,carnivore,0,0,0,NA,0,0,0,NA,0,0,0,NA,described_from_varisous_disarticulary_bones,,
Comodactylus_ostromi,Pterosaur,,,aerial,,1.4,carnivore,0,0,0,NA,0,0,0,NA,0,0,0,NA,only_metacarpal_present,,
Pterosaur_indet,Pterosaur,,,aerial,,3.3,carnivore,0,0,0,NA,0,0,0,NA,0,0,0,NA,skull_fragments,,
Ceratosaurus_nasicornis,Theropod,,,terrestrial,,524,carnivore,1,1,0,sexual,1,0,1,NA,1,0,0,NA,bony_projections_on_back_horn_likely_to_be_mainly_sexual,,
Allosaurus_fragilis,Theropod,,,terrestrial,,1010,carnivore,1,0,0,NA,1,0,0,NA,1,0,0,NA,May_be_more_than_one_species_present,,
Saurophaganax,Theropod,,,terrestrial,,2720,carnivore,1,0,0,NA,1,0,0,NA,1,0,0,NA,NA,,
Torvosaurus_tanneri,Theropod,,,terrestrial,,1950,carnivore,1,0,0,NA,1,0,0,NA,1,0,0,NA,NA,,
Edmarka_rex,Theropod,,,terrestrial,,1950,carnivore,1,0,0,NA,1,0,0,NA,1,0,0,NA,likely_to_be_synonom_with_Torvosaurus_tanneri,,
Marshosaurus_bicentesimus,Theropod,,,terrestrial,,250,carnivore,1,0,0,NA,0,NA,NA,NA,0,NA,NA,NA,only_known_from_skull_and_other_partial_bones,,
Stokesosaurus_clevelando,Theropod,,,terrestrial,,85,carnivore,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,only_known_from_tibia,,
Ornitholestes_hermanni,Theropod,,,terrestrial,,13,carnivore,1,0,0,NA,1,0,0,NA,1,0,0,NA,partial_body presrvation,,
Coelurus_fragalis,Theropod,,,terrestrial,,20,carnivore,1,0,0,NA,1,0,0,NA,1,0,0,NA,NA,,
Koparion_douglassi,Theropod,,,terrestrial,,13,carnivore,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,only_known_from_tooth,,
Elaphrosaurus,Theropod,,,terrestrial,,210,carnivore,0,NA,NA,NA,1,0,0,NA,1,NA,NA,NA,NA,,
Theropod_indet,Theropod,,,terrestrial,,1000,carnivore,,,,,,,,,,,,,Seems to be  wastebin category,,
Brachiosaurus_altithorax,Sauropod,,,terrestrial,,43896,herbivore,1,0,0,NA,1,0,0,NA,1,0,0,NA,NA,,
Camarasaurus,Sauropod,,,terrestrial,,14000,herbivore,1,0,0,NA,1,0,0,NA,1,0,0,NA,NA,,
Camarasaurus_supremus,Sauropod,,,terrestrial,,47000,herbivore,1,0,0,NA,1,0,0,NA,1,0,0,NA,NA,,
Diploducus,Sauropod,,,terrestrial,,12657,herbivore,1,0,0,0,1,0,0,NA,1,0,0,NA,May_have_spines_see Czerkas 1992 Discovery of dermal spines reveals a new look for sauropod dinosaurs,,
Diploducus_hayi,Sauropod,,,terrestrial,,12000,herbivore,0,NA,NA,NA,1,0,0,NA,1,0,0,NA,May_have_spines_see Czerkas 1992 Discovery of dermal spines reveals a new look for sauropod dinosaurs,,
Barosaurus,Sauropod,,,terrestrial,,11957,herbivore,0,NA,NA,NA,1,0,0,NA,1,0,0,NA,May_have_spines_see Czerkas 1992 Discovery of dermal spines reveals a new look for sauropod dinosaurs,,
Apatosaurus,Sauropod,,,terrestrial,,24247,herbivore,1,0,0,NA,1,0,0,NA,1,0,0,NA,NA,,
Supersaurus,Sauropod,,,terrestrial,,40200,herbivore,0,NA,NA,NA,1,0,0,NA,1,0,0,NA,,,
Seismosaurus,Sauropod,,,terrestrial,,42500,herbivore,,,,,,,,,,,,,likely_to_be_species_of_Diploducus,,
Diplodocidea_indet,Sauropod,,,terrestrial,,12000,herbivore,,,,,,,,,,,,,Seems to be  wastebin category,,
Haplocanthosaurus_priscus,Sauropod,,,terrestrial,,7000,herbivore,0,NA,NA,NA,1,0,0,NA,1,0,0,NA,,,
Haplocanthosaurus_delfsi,Sauropod,,,terrestrial,,17200,herbivore,0,NA,NA,NA,1,0,0,NA,1,0,0,NA,,,
Dystrophaeus,Sauropod,,,terrestrial,,12000,herbivore,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,only_known_from_partial_bones,,
Stegosaurus_ungulatus,Ornithischia,,,terrestrial,,5284,herbivore,1,0,0,NA,1,1,1,thermo sexual,1,1,0,NA,added_addition_species_to_table_5_based_on_text_and_known_species,,Foster2003_Table_5
Stegosaurus_stenops,Ornithischia,,,terrestrial,,1560,herbivore,1,0,0,NA,1,1,1,thermo sexual,1,1,0,NA,added_addition_species_to_table_5_based_on_text_and_known_species,,Brassey et al 2105 http://rsbl.royalsocietypublishing.org/content/11/3/20140984
Hesperosaurus,Ornithischia,,,terrestrial,,5000,herbivore,1,0,0,NA,1,1,1,thermo sexual,1,1,1,NA,NA,,Foster2003_Table_5
Mymoorapelta_maysi,Ornithischia,,,terrestrial,,1000,herbivore,0,NA,NA,NA,1,0,1,NA,1,1,1,NA,tail projections based on description from Kirkland and Carpenter 1994,http://s3.amazonaws.com/academia.edu.documents/863494/Kirkland_et_al_1994_-_Mymoorapelta.pdf?AWSAccessKeyId=AKIAIWOWYYGZ2Y53UL3A&Expires=1488248829&Signature=8b29s2b0LVuTxmFsfdnLj3t9cE4%3D&response-content-disposition=inline%3B%20filename%3DKirkland_J._I._and_Carpenter_K._1994_Nor.pdf,
Gargoyleosaurus_parkpini,Ornithischia,,,terrestrial,,1000,herbivore,1,0,1,NA,1,1,1,NA,1,0,1,NA,I did class the armour as projectiles but more as a cover,,
Ankylosaurus,Ornithischia,,,terrestrial,,1000,herbivore,,,,,,,,,,,,,While_in_table_5_there_is_no_discribtion_in_text_so_left_it_out,,
cf_Echinodon,Ornithopoda,,,terrestrial,,5,herbivore,1,0,0,NA,0,NA,NA,NA,0,NA,NA,NA,NA,,
Othnielia_rex,Ornithopoda,,,terrestrial,,5,herbivore,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,May_be_synonom_with_Laosaurus,,
Drinker_nisti,Ornithopoda,,,terrestrial,,5,herbivore,1,NA,NA,NA,0,NA,NA,NA,1,0,0,NA,humurus_only_present_from_body,,
Dryosaurus_altus,Ornithopoda,,,terrestrial,,114,herbivore,1,0,0,NA,1,0,0,NA,1,0,0,NA,NA,,
Camptosaurus_dispar,Ornithopoda,,,terrestrial,,830,herbivore,1,0,0,NA,1,0,0,NA,1,0,0,NA,NA,,
Ornithopoda_indet,Ornithopoda,,,terrestrial,,450,herbivore,,,,,,,,,,,,,,,
Docodon,Mammalia,,,Specialized_terrestrial,,140.7,omnivore,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,only_known_from_jaw_teeth,,Foster_2009_using_ME1_from_table3
Ctenacodon,Mammalia,,,Specialized_terrestrial,,20.5,omnivore,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,only_known_from_jaw_teeth,"Marsh, O. C. (1887). I.‹ American Jurassic Mammals. Geological Magazine (Decade III), 4(07), 289-299.",Foster_2009_using_ME1_from_table3
Psalodon,Mammalia,,,Specialized_terrestrial,,58.3,omnivore,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,only_known_from_jaw_teeth,,Foster_2009_using_ME1_from_table3
Glirodon,Mammalia,,,Specialized_terrestrial,,16.8,omnivore,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,only_known_from_jaw_teeth,,Foster_2009_using_ME1_from_table3
Zofiabaatar,Mammalia,,,Specialized_terrestrial,,35,omnivore,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,only_known_from_jaw_teeth,,Foster_2009_using_ME1_from_table3
Multituberculata_indet,Mammalia,,,Specialized_terrestrial,,<1,omnivore,,,,,,,,,,,,,,,
Triconolestes,Mammalia,155.7,150.8,Specialized_terrestrial,,100.9,Invert/Carnivore,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,only_known_from_jaw_teeth,checked fossil state in Mammals from the age of Dinosaurs,Foster_2009_using_ME1_from_table3
Aploconodon_comoensis,Mammalia,155.7,145.5,Specialized_terrestrial,,18,Invert/Carnivore,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,only_known_from_jaw_teeth,checked fossil state in Mammals from the age of Dinosaurs,Foster_2009_using_ME1_from_table3
Phascolotheridium,Mammalia,,,Specialized_terrestrial,,<1,Invert/Carnivore,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,only_known_from_jaw_teeth,checked fossil state in Mammals from the age of Dinosaurs may be synonom with Comodon,
Priacodon,Mammalia,,,Specialized_terrestrial,,110.5,Invert/Carnivore,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,only_known_from_jaw_teeth,checked fossil state in Mammals from the age of Dinosaurs,Foster_2009_using_ME1_from_table3
Trioracodon,Mammalia,,,Specialized_terrestrial,,100.9,Invert/Carnivore,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,only_known_from_jaw_teeth,checked fossil state in Mammals from the age of Dinosaurs,Foster_2009_using_ME1_from_table3
Triconodonta_indet,Mammalia,,,Specialized_terrestrial,,<1,Invert/Carnivore,,,,,,,,,,,,,,,
Amphidon,Mammalia,,,Specialized_terrestrial,,15.2,Invertivore,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,only_known_from_jaw_teeth,checked fossil state in Mammals from the age of Dinosaurs,Foster_2009_using_ME1_from_table3
Tinodon,Mammalia,,,Specialized_terrestrial,,72.3,Invertivore,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,only_known_from_jaw_teeth,checked fossil state in Mammals from the age of Dinosaurs,Foster_2009_using_ME1_from_table3
Symmetrodonta_indet,Mammalia,,,Specialized_terrestrial,,<1,Invertivore,,,,,,,,,,,,,,,
Araeodon,Mammalia,,,Specialized_terrestrial,,16.5,Invertivore,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,only_known_from_jaw_teeth,checked fossil state in Mammals from the age of Dinosaurs,Foster_2009_using_ME1_from_table3
Archaeotrigon,Mammalia,,,Specialized_terrestrial,,31.8,Invertivore,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,only_known_from_jaw_teeth,checked fossil state in Mammals from the age of Dinosaurs,Foster_2009_using_ME1_from_table3
Euthlastus,Mammalia,,,Specialized_terrestrial,,<1,Invertivore,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,only_known_from_jaw_teeth,checked fossil state in Mammals from the age of Dinosaurs,
Foxraptor,Mammalia,,,Specialized_terrestrial,,31.8,Invertivore,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,only_known_from_jaw_teeth,checked fossil state in Mammals from the age of Dinosaurs,Foster_2009_using_ME1_from_table3
Paurodon,Mammalia,,,Specialized_terrestrial,,31.8,Invertivore,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,only_known_from_jaw_teeth,checked fossil state in Mammals from the age of Dinosaurs,Foster_2009_using_ME1_from_table3
Comotherium,Mammalia,,,Specialized_terrestrial,,<1,Invertivore,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,only_known_from_jaw_teeth,checked fossil state in Mammals from the age of Dinosaurs,
Pelicopsis,Mammalia,,,Specialized_terrestrial,,<1,Invertivore,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,only_known_from_jaw_teeth,checked fossil state in Mammals from the age of Dinosaurs,
Tathiodon,Mammalia,,,Specialized_terrestrial,,31.8,Invertivore,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,only_known_from_jaw_teeth,checked fossil state in Mammals from the age of Dinosaurs,Foster_2009_using_ME1_from_table3
Paurodontidae_indet,Mammalia,,,Specialized_terrestrial,,<1,Invertivore,,,,,,,,,,,,,,,
Amblotherium,Mammalia,,,Specialized_terrestrial,,19.2,Invertivore,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,only_known_from_jaw_teeth,checked fossil state in Mammals from the age of Dinosaurs,Foster_2009_using_ME1_from_table3
Dryolestes,Mammalia,,,Specialized_terrestrial,,103.7,Invertivore,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,only_known_from_jaw_teeth,checked fossil state in Mammals from the age of Dinosaurs,Foster_2009_using_ME1_from_table3
Kepolestes,Mammalia,,,Specialized_terrestrial,,<1,Invertivore,,,,,,,,,,,,,synonym with Amblotherium,,
Laolestes,Mammalia,,,Specialized_terrestrial,,63,Invertivore,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,only_known_from_jaw_teeth,checked fossil state in Mammals from the age of Dinosaurs,Foster_2009_using_ME1_from_table3
Melanodon,Mammalia,,,Specialized_terrestrial,,<1,Invertivore,,,,,,,,,,,,,synonym with Laolestes,,
Miccylotyrans,Mammalia,,,Specialized_terrestrial,,<1,Invertivore,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,only_known_from_jaw_teeth might be synonym with Amblothherium,checked fossil state in Mammals from the age of Dinosaurs,
Dryolestidae_indet,Mammalia,,,Specialized_terrestrial,,<1,Invertivore,,,,,,,,,,,,,,,
Mammalia_indet,Mammalia,,,Specialized_terrestrial,,<1,Invertivore,,,,,,,,,,,,,,,
Fruitafossor,Mammalia,,,Specialized_terrestrial,,6.2,Invertivore,1,0,0,NA,1,0,0,NA,1,0,0,0,,"Luo, Zhe-Xi, and John R. Wible. ""A Late Jurassic digging mammal and early mammalian diversification."" Science 308.5718 (2005): 103-107.",Foster_2009_using_ME1_from_table3
