Species name,Group,Source,Age (in Mya),Envronement (terrestrial/aquatic),Body length (m),Body mass (kg),"Diet (herbivore, omnivore,carnivore, small stuff eater)",Head presence,Head projections,Head surface,Head function,Body presence,Body projections,Body surface,Body function,Tail presence,Tail projections,Tail surface,Tail function,notes
Sandcoleidae gen. et sp. indet.,Aves,,,,,,,,,,,,,,,,,,,
Masillacolius_brevidactylus,Aves,,,,,,,,,,,,,,,,,,,
Selmes_absurdipes,Aves,,,,,,,,,,,,,,,,,,,
Fluvioviridavis,Aves,,,,,,,,,,,,,,,,,,,
Masillapodargus_longipes,Aves,,,,,,,,,,,,,,,,,,,
Paraprefica_kelleri,Aves,,,,,,,,,,,,,,,,,,,
Paraprefica_major,Aves,,,,,,,,,,,,,,,,,,,
Hassiavis_laticauda,Aves,,,,,,,,,,,,,,,,,,,
Scaniacypselus_szarskii,Aves,,,,,,,,,,,,,,,,,,,
Plesiocathartes_kelleri,Aves,,,,,,,,,,,,,,,,,,,
Eocoracias_brachyptera,Aves,,,,,,,,,,,,,,,,,,,
Quasisyndactylus_longibrachis,Aves,,,,,,,,,,,,,,,,,,,
Messelirrisor_parvus,Aves,,,,,,,,,,,,,,,,,,,
Messelirrisor_halcyrostris,Aves,,,,,,,,,,,,,,,,,,,
Messelirrisor_grandis,Aves,,,,,,,,,,,,,,,,,,,
Primobucco,Aves,,,,,,,,,,,,,,,,,,,
Primozygodactylus_danielsi,Aves,,,,,,,,,,,,,,,,,,,
Primozygodactylus_major,Aves,,,,,,,,,,,,,,,,,,,
Primozygodactylus_ballmanni,Aves,,,,,,,,,,,,,,,,,,,
Gracilitarsus_mirabilis,Aves,,,,,,,,,,,,,,,,,,,
Palaeopsittacus cf. georgei,Aves,,,,,,,,,,,,,,,,,,,
Peradectes,Metatheria,,,squirrel like thing,,,,,,,,,,,,,,,,
Amphiperatherium_cf_maximum,Metatheria,,,is this just a jaw,,,,,,,,,,,,,,,,
Amphiperatherium_goethei,Metatheria,,,is this just a jaw,,,,,,,,,,,,,,,,
Amphiperatherium,Metatheria,,,is this just a jaw,,,,,,,,,,,,,,,,
Peratherium,Metatheria,,,is this just a jaw,,,,,,,,,,,,,,,,se the paper as it may be a synon of Amphiperatherium
Leptictidium_tobieni,Proteutheria,,,measure,,,,,,,,,,,,,,,,
Leptictidium_nasutum,Proteutheria,,,measure,,,,,,,,,,,,,,,,
Leptictidium_auderiense,Proteutheria,,,measure,,,,,,,,,,,,,,,,
Buxolestes_piscator,Proteutheria,,,,semi aquatic,,,,,,,,,,,,,,,
Buxolestes_minor,Proteutheria,,,,semi aquatic,,,,,,,,,,,,,,,
Kopidodon_macrognathus,Proteutheria,,,,not a predator,,,,,,,,,,,,,,,
Paroxyclaenus_sp,Proteutheria,,,measure,,,,,,,,,,,,,,,,
Heterohyus_nanus,Proteutheria,,,measure,,,,,,,,,,,,,,,,
Macrocranion_tenerum,Amphilemuridae,,,,may be predators,yes but very small,,,,,,,,,,,,,,
Macrocranion_tupaiodon,Amphilemuridae,,,,may be predators,,,,,,,,,,,,,,,
Pholidocercus_hassiacus,Amphilemuridae,,,check for scales,,,,,,,,,,,,,,,,
Lesmesodon_edingeri,Creodonta,,,measure,,,,,,,,,,,,,,,,
Lesmesodon_behnkeae,Creodonta,,,measure,,,,,,,,,,,,,,,,
Eomanis_waldi,Pholidota,,,Eomanis_waldi,none there,,,,,,,,,,,,,,,
Eomanis_krebsi,Pholidota,,,does it have scales,,,,,,,,,,,,,,,,
Eurotamandua_joresi,Xenarthra,,,check for scales,none there,,,,,,,,,,,,,,,no scales like other pangolins
Ailuravus_macrurus,Rodentia,,,,,,,,,,,,,,,,,,,
Hartenbergeromys_parvus,Rodentia,,,,,,,,,,,,,,,,,,,
Masillamys_beegeri,Rodentia,,,,,,,,,,,,,,,,,,,
Eogliravus_wildi,Gliridae,,,,,,,,,,,,,,,,,,,
Palaeochiropteryx_tupaiodon,Chiroptera,,,,,,,,,,,,,,,,,,,
Palaeochiropteryx_spiegeli,Chiroptera,,,,,,,,,,,,,,,,,,,
Archaeonycteris_trigonodon,Chiroptera,,,,,,,,,,,,,,,,,,,
Archaeonycteris_pollex,Chiroptera,,,,,,,,,,,,,,,,,,,
Hassianycteris_messelensis,Chiroptera,,,,,,,,,,,,,,,,,,,
Hassianycteris_magna,Chiroptera,,,,,,,,,,,,,,,,,,,
Hassianycteris_revilliodi,Chiroptera,,,,,,,,,,,,,,,,,,,
Tachypteron_franzeni,Chiroptera,,,,,,,,,,,,,,,,,,,
Europolemur_koenigswaldi,Primates,,,,,,,,,,,,,,,,,,,
Europolemur_kelleri,Primates,,,,,,,,,,,,,,,,,,,
Godinotia_neglecta,Primates,,,,,,,,,,,,,,,,,,,
Messelogale_kessleri,Carnivora,,,,measure,,,,,,,,,,,,,,,
Paroodectes_feisti,Carnivora,,,,measure,,,,,,,,,,,,,,,
Propalaeotherium_parvulum,Perissodactyla,,,,measure,,,,,,,,,,,,,,,
Propalaeotherium_hassiacum,Perissodactyla,,,,measure,,,,,,,,,,,,,,,
Hallensia_matthesi,Perissodactyla,,,,measure,,,,,,,,,,,,,,,
Hyrachyus_minimus,Perissodactyla,,,,measure,,,,,,,,,,,,,,,
Lophiodon,Perissodactyla,,,,measure,,,,,,,,,,,,,,,
Messelobunodon_schaeferi,Artiodactyla,,,,measure,,,,,,,,,,,,,,,
Aumelasia_cf_gabineaudi,Artiodactyla,,,,measure,,,,,,,,,,,,,,,
Masillabune_martini,Artiodactyla,,,,measure,,,,,,,,,,,,,,,
