Species name,Group (Order),Stage bin,Age (in Mya),Youngest Age,Environment (terrestrial/aquatic),Source,Body length (m),Body mass (kg),source BM,"Diet (herbivore, omnivore,carnivore, small stuff eater)",Head presence,Head surface,Head projections,Head function,Body presence,Body projections,Body surface,Body function,Tail presence,Tail projections,Tail surface,Tail function,Notes,Habitat or water depth,Geographical Distribution
Chelyophorous_verneuli,Placodermi,Famennian,,,,,10,,Denison 1978,,,,,,,,,,,,,,,,
Ptyctodus_major,Placodermi,Famennian,,,,,160,,Denison 1978,,,,,,,,,,,,,,,,
Africanaspis_doryssa,Placodermi,Famennian,,,,,37,,Long et al. 1997,,,,,,,,,,,,,,,,
Bungartius_perissus,Placodermi,Famennian,,,,,200,,Denison 1978,,,,,,,,,,,,,,,,
Diplognathus_mirabilis,Placodermi,Famennian,,,,,540,,Denison 1978,,,,,,,,,,,,,,,,
Diplognathus_lafargei,Placodermi,Famennian,,,,,44,,Carr & Jackson 2005,,,,,,,,,,,,,,,,
Dunkleosteus_terrelli,Placodermi,Famennian,,,,,800,,Denison 1978,,,,,,,,,,,,,,,,
Dunkleosteus_denisoni,Placodermi,Famennian,,,,,52,,Kulczycki 1957,,,,,,,,,,,,,,,,
Dunkleosteus_missouriensis,Placodermi,Famennian,,,,,190,,Branson 1914,,,,,,,,,,,,,,,,
Dunkleosteus_marsaisi,Placodermi,Famennian,,,,,190,,Denison 1978,,,,,,,,,,,,,,,,
Eastmanosteus_tubercultatus,Placodermi,Famennian,,,,,120,,Dennis-Bryan 1987,,,,,,,,,,,,,,,,
Glyptaspis_verrucosa,Placodermi,Famennian,,,,,800,,Denison 1978,,,,,,,,,,,,,,,,
Gorgonichthys_clarki,Placodermi,Famennian,,,,,390,,Denison 1978,,,,,,,,,,,,,,,,
Groenlandaspis_riniensis,Placodermi,Famennian,,,,,90,,Long et al. 1997,,,,,,,,,,,,,,,,
Groenlandaspis_mirabilis,Placodermi,Famennian,,,,,110,,Daeschler and Frumes 2003,,,,,,,,,,,,,,,,
Groenlandaspis_thorezi,Placodermi,Famennian,,,,,24,,Clement and Janvier 2005,,,,,,,,,,,,,,,,
Groenlandaspis_pennsylvanica,Placodermi,Famennian,,,,,100,,Daeschler and Frumes 2003,,,,,,,,,,,,,,,,
Groenlandaspis_disjectus,Placodermi,Famennian,,,,,85,,Daeschler and Frumes 2003,,,,,,,,,,,,,,,,
Gymnotrachelus_hydei,Placodermi,Famennian,,,,,84,,Denison 1978,,,,,,,,,,,,,,,,
Heinzichthys_gouldi,Placodermi,Famennian,,,,,140,,Denison 1978,,,,,,,,,,,,,,,,
Holdenius_holdeni,Placodermi,Famennian,,,,,590,,Denison 1978,,,,,,,,,,,,,,,,
Hussakofia_minor,Placodermi,Famennian,,,,,96,,Denison 1978,,,,,,,,,,,,,,,,
Mylostoma_varibile,Placodermi,Famennian,,,,,120,,Denison 1978,,,,,,,,,,,,,,,,
Paramylostoma_arcualis,Placodermi,Famennian,,,,,71,,Denison 1978,,,,,,,,,,,,,,,,
Selenosteus_brevis,Placodermi,Famennian,,,,,87,,Denison 1978,,,,,,,,,,,,,,,,
Stenosteus_glaber,Placodermi,Famennian,,,,,110,,Denison 1978,,,,,,,,,,,,,,,,
Tafilalichthys_lavocati,Placodermi,Famennian,,,,,130,,Denison 1978,,,,,,,,,,,,,,,,
Titanichthys_agassizi,Placodermi,Famennian,,,,,490,,Denison 1978,,,,,,,,,,,,,,,,
Titanichthys_attenuatus,Placodermi,Famennian,,,,,440,,Denison 1978,,,,,,,,,,,,,,,,
Titanichthys_clarkii,Placodermi,Famennian,,,,,490,,Newberry 1889,,,,,,,,,,,,,,,,
Titanichthys_kozlowskii,Placodermi,Famennian,,,,,500,,Kulczycki 1957,,,,,,,,,,,,,,,,
Titanichthys_termieri,Placodermi,Famennian,,,,,120,,Denison 1978,,,,,,,,,,,,,,,,
Trachosteus_clarki,Placodermi,Famennian,,,,,75,,Denison 1978,,,,,,,,,,,,,,,,
Sinolepis_macrocephala,Placodermi,Famennian,,,,,32,,Denison 1978,,,,,,,,,,,,,,,,
Bothriolepis_alvensis,Placodermi,Famennian,,,,,46,,Denison 1978,,,,,,,,,,,,,,,,
Bothriolepis_cristata,Placodermi,Famennian,,,,,35,,Denison 1978,,,,,,,,,,,,,,,,
Bothriolepis_gigantea,Placodermi,Famennian,,,,,97,,Denison 1978,,,,,,,,,,,,,,,,
Bothriolepis_groenlandica,Placodermi,Famennian,,,,,85,,Denison 1978,,,,,,,,,,,,,,,,
Bothriolepis_lohesti,Placodermi,Famennian,,,,,19,,Denison 1978,,,,,,,,,,,,,,,,
Bothriolepis_paradoxa,Placodermi,Famennian,,,,,48,,Denison 1978,,,,,,,,,,,,,,,,
Remigolepis_cristata,Placodermi,Famennian,,,,,24,,Denison 1978,,,,,,,,,,,,,,,,
Remigolepis_acusta,Placodermi,Famennian,,,,,48,,Denison 1978,,,,,,,,,,,,,,,,
Remigolepis_kochi,Placodermi,Famennian,,,,,35,,Denison 1978,,,,,,,,,,,,,,,,
Phyllolepis_tolli,Placodermi,Famennian,,,,,50,,Denison 1978,,,,,,,,,,,,,,,,
Dinichthys_corrugatus,Placodermi,Famennian,,,,,180,,Branson 1914,,,,,,,,,,,,,,,,
Turrisaspis_elektor,Placodermi,Famennian,,,,,22,,Daeschler et al. 2003,,,,,,,,,,,,,,,,
Tiaraspis_subtilis,Placodermi,Famennian,,,,,110,,Daeschler and Frumes 2003,,,,,,,,,,,,,,,,
Hillalepis_gippslandensis,Placodermi,Famennian,,,,,20,,Denison 1978,,,,,,,,,,,,,,,,
Livnolepis_zadonica,Placodermi,Famennian,,,,,80,,Moloshnikov 2008,,,,,,,,,,,,,,,,
Kirgisolepis_karabaltaensis,Placodermi,Famennian,,,,,46,,Vorobyeva & Panteleyev 2005,,,,,,,,,,,,,,,,
Ningxialepis_spinosa,Placodermi,Famennian,,,,,11.5,,Jia et al. 2010,,,,,,,,,,,,,,,,
Youngolepis_sp.,Sarcopterygii,Lochkovian,,,,,50,,Long 2011,,,,,,,,,,,,,,,,
Youngolepis_praecursor,Sarcopterygii,Lochkovian-Pragian,,,,,30,,Wang et al. 2010,,,,,,,,,,,,,,,,
Powichthys_sp.,Sarcopterygii,Lochkovian,,,,,50,,Long 2011,,,,,,,,,,,,,,,,
Psarolepis_romeri,Sarcopterygii,Lochkovian,,,,,13,,Yu 1998,,,,,,,,,,,,,,,,
Achoania_jarviki,Sarcopterygii,Lochkovian,,,,,16,,Zhu et al. 2001,,,,,,,,,,,,,,,,
Styloichthys_changae,Sarcopterygii,Lochkovian,,,,,16,,Zhu & Yu 2002,,,,,,,,,,,,,,,,
Meemania_eos,Sarcopterygii,Lochkovian,,,,,10,,Zhao & Zhu 2010,,,,,,,,,,,,,,,,
Diabolepis_speratus,Sarcopterygii,Lochkovian,,,,,15,,Chang & Yu 1984,,,,,,,,,,,,,,,,
Westollrhynchus_lehmani,Sarcopterygii,Pragian-Emsian,,,,,69,,Schultze 2001,,,,,,,,,,,,,,,,
Qingmenodus_yui,Sarcopterygii,Pragian,,,,,70,,Long 2011,,,,,,,,,,,,,,,,
Bukkanodus_jesseni,Sarcopterygii,Pragian,,,,,20,,Long 2011,,,,,,,,,,,,,,,,
Euporosteus_yunnanensis,Sarcopterygii,Pragian,,,,,12,,Zhu et al. 2012,,,,,,,,,,,,,,,,
Uranolophus_wyomingensis,Sarcopterygii,Pragian-Emsian,,,,,30,,Frickhinger 1991,,,,,,,,,,,,,,,,
Dipnorhynchus_sussmilchi,Sarcopterygii,Emsian,,,,,57.8,,Bernacsek & Carroll 1981,,,,,,,,,,,,,,,,
Dipnorhynchus_cathlesae,Sarcopterygii,Emsian,,,,,140,,Campbell et al. 2009,,,,,,,,,,,,,,,,
Speonedydrion_iani,Sarcopterygii,Emsian,,,,,55,,Chang & Wang 1995,,,,,,,,,,,,,,,,
